id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
149,148.8,-gneE27_0,5.1,0,-0.2,224,gneE37_0,89.6,13.51,75.2,789.84,3.2,1,0,18,1,tripinfo_149 routing_149,DEFAULT_VEHTYPE,1.01,
137,136.8,-gneE49_0,5.1,0,-0.2,224.4,gneE38_0,89.6,13.51,87.6,381.42,39.2,3,0,58.22,1,tripinfo_137 routing_137,DEFAULT_VEHTYPE,1,
196,196,-gneE2_0,5.1,0,0,224.4,gneE34_0,85.6,14.89,28.4,269.76,0,0,0,9.29,1,tripinfo_196 routing_196,DEFAULT_VEHTYPE,1.09,
151,150.8,-gneE47_0,5.1,0,-0.2,225.2,-gneE26_0,85.6,13.42,74.4,680.08,0,0,0,27.24,1,tripinfo_151 routing_151,DEFAULT_VEHTYPE,1.07,
202,202,gneE34_0,5.1,0,0,225.2,gneE52_0,85.6,14.12,23.2,280.5,0,0,0,3.53,1,tripinfo_202 routing_202,DEFAULT_VEHTYPE,1.03,
94,94,gneE43_0,6.6,0,0,228,-gneE45_0,85.6,5.49,134,478.37,62.8,4,0,97.51,1,tripinfo_94 routing_94,bus,1,
113,115.2,gneE26_0,5.1,0,2.2,228,gneE45_0,85.6,5.43,112.8,469.76,57.6,2,0,74.62,1,tripinfo_113 routing_113,DEFAULT_VEHTYPE,0.92,
147,147.2,gneE35_0,5.1,0,0.2,228,gneE31_0,85.6,5.33,80.8,175.13,47.6,2,0,64.62,0,tripinfo_147 routing_147,DEFAULT_VEHTYPE,0.82,
132,134.4,-gneE38_0,5.1,0,2.4,228.4,-gneE13_0,85.6,5.89,94,571.31,38,1,0,55.54,1,tripinfo_132 routing_132,DEFAULT_VEHTYPE,1.1,
89,88.8,gneE30_0,5.1,0,-0.2,230,-gneE13_0,85.6,7.76,141.2,469.76,74.8,3,0,107.52,1,tripinfo_89 routing_89,DEFAULT_VEHTYPE,1.06,
99,100.4,gneE31_0,5.1,0,1.4,230,-gneE14_0,85.6,7.17,129.6,375.13,70,3,0,104.13,1,tripinfo_99 routing_99,DEFAULT_VEHTYPE,1.09,
123,122.8,-gneE51_0,5.1,0,-0.2,230,-gneE32_0,85.6,7.1,107.2,474.71,40.8,3,0,68.96,1,tripinfo_123 routing_123,DEFAULT_VEHTYPE,0.95,
133,132.8,gneE38_0,5.1,0,-0.2,230,gneE44_0,85.6,7.9,97.2,585.63,34.4,2,0,53.92,1,tripinfo_133 routing_133,DEFAULT_VEHTYPE,1.01,
138,138,-gneE45_0,5.1,0,0,231.2,-gneE1_0,85.6,13.28,93.2,580.08,21.2,2,0,49.44,1,tripinfo_138 routing_138,DEFAULT_VEHTYPE,0.99,
91,90.8,gneE40_0,5.1,0,-0.2,232,-gneE13_0,85.6,9.12,141.2,669.34,44.4,5,0,89.46,1,tripinfo_91 routing_91,DEFAULT_VEHTYPE,0.98,
130,130,gneE38_0,5.1,0,0,233.6,-gneE32_0,85.6,10.73,103.6,684.08,20.4,2,0,48.71,1,tripinfo_130 routing_130,DEFAULT_VEHTYPE,0.93,
134,134,-gneE34_0,5.1,0,0,234.4,-gneE52_0,85.6,15.07,100.4,660.57,37.6,1,0,54.38,1,tripinfo_134 routing_134,DEFAULT_VEHTYPE,1.1,
90,90,-gneE4_0,5.1,0,0,235.2,gneE35_0,85.6,12.99,145.2,369.55,96.8,4,0,114.98,1,tripinfo_90 routing_90,DEFAULT_VEHTYPE,0.96,
170,170,gneE38_0,5.1,0,0,235.6,gneE51_0,85.6,13.03,65.6,373.55,24.4,1,0,35.23,1,tripinfo_170 routing_170,DEFAULT_VEHTYPE,0.96,
127,126.8,gneE9_0,5.1,0,-0.2,236,-gneE4_0,85.6,10.44,109.2,471.1,36.4,3,0,74.37,1,tripinfo_127 routing_127,DEFAULT_VEHTYPE,1.03,
156,157.2,gneE27_0,5.1,0,1.2,236,-gneE37_0,89.6,15.26,78.8,969.04,0,0,0,15.16,1,tripinfo_156 routing_156,DEFAULT_VEHTYPE,1.12,
105,104.8,gneE51_0,5.1,0,-0.2,236.8,gneE50_0,85.6,13.15,132,559.02,68.8,2,0,87.96,1,tripinfo_105 routing_105,DEFAULT_VEHTYPE,0.98,
188,188,gneE4_0,5.1,0,0,238,gneE5_0,85.6,10.08,50,180.5,24,1,0,36.69,0,tripinfo_188 routing_188,DEFAULT_VEHTYPE,0.98,
144,144,gneE31_0,5.1,0,0,238.4,-gneE44_0,85.6,13.62,94.4,380.08,32.4,3,0,67.2,1,tripinfo_144 routing_144,DEFAULT_VEHTYPE,1.06,
154,154,gneE53_0,5.1,0,0,238.4,gneE50_0,85.6,16.64,84.4,659.02,19.2,1,0,43.55,1,tripinfo_154 routing_154,DEFAULT_VEHTYPE,1.23,
165,164.8,-gneE5_0,5.1,0,-0.2,238.4,-gneE31_0,85.6,8.3,73.6,280.5,42.4,1,0,55.78,1,tripinfo_165 routing_165,DEFAULT_VEHTYPE,1.14,
177,176.8,gneE37_0,5.1,0,-0.2,238.4,-gneE47_0,85.6,14.64,61.6,681,0,0,0,12.57,1,tripinfo_177 routing_177,DEFAULT_VEHTYPE,1.08,
182,188,-gneE35_0,5.1,0,6,240,gneE13_0,85.6,13.35,52,280.29,12.4,1,0,30.82,1,tripinfo_182 routing_182,DEFAULT_VEHTYPE,0.99,
141,140.8,-gneE39_0,5.1,0,-0.2,240.4,gneE1_0,85.6,15.24,99.6,569.76,32.8,2,0,60.76,1,tripinfo_141 routing_141,DEFAULT_VEHTYPE,1.1,
